id,algorithm,curve,digest,signature_r,signature_s,private_key,public_key_x,public_key_y,nonce_point_x,nonce_point_y,duration,duration_extra,return_code
0,0018,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c64293f4b51c682797980a4e21b0ff4fc3efc185ff9d158ab3495e24193070717d45c993f8042ea7d4a11fc5c20c802b,9644546733e91023ffa52d04b77749b67a653bb6c21ed898525cd626804017c7ce7b96157a1f1eba3363cc3822ba63d1,0e2533a409327629c7e22f063800296ca506bbf59f33b7da4df76e8a8ad6c5d30603aac7b52543ca3cafeb6ed1bce896,b9c8a2c5033cb471c87f957090c6acb8dd807c5ed112bba4cfd703dae5a7d9f293ebce3811bb70452da66d8da6757ff4,6287916e21e3e1b329a2bc52a74cd81c0e46b01785782e4a96a4f26dd3090a2bde699a3639b7ec11bbc6208f8562298d,,,0.023825721,0.000000000,0000
1,0018,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,52c1229d0aac55a67ebccf51459c9aac1715d79a5050adbad1ac3296f74c565368434ed585ce020ced04e6b618ef7d95,77aea476b0a76df553722edcbeb622d143148b76e048f3c5b2f301a8d8e2aef923c0cbee075bf193a5e7e3acc04fa35c,0e2533a409327629c7e22f063800296ca506bbf59f33b7da4df76e8a8ad6c5d30603aac7b52543ca3cafeb6ed1bce896,b9c8a2c5033cb471c87f957090c6acb8dd807c5ed112bba4cfd703dae5a7d9f293ebce3811bb70452da66d8da6757ff4,6287916e21e3e1b329a2bc52a74cd81c0e46b01785782e4a96a4f26dd3090a2bde699a3639b7ec11bbc6208f8562298d,,,0.023909376,0.000000000,0000
2,0018,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e8a23f9a6c8e3f0855d71ad25da144fd491e8e80a28ca2d50b5b16160a5d1a2302d8722dfe8ade1f2d5eac51cfa03849,669a37410c96a2563cc16be0e8151c82a4c0a6835112ce7c62e8e8f1eac920c26ea9bef57459eee700694421e43bf46b,0e2533a409327629c7e22f063800296ca506bbf59f33b7da4df76e8a8ad6c5d30603aac7b52543ca3cafeb6ed1bce896,b9c8a2c5033cb471c87f957090c6acb8dd807c5ed112bba4cfd703dae5a7d9f293ebce3811bb70452da66d8da6757ff4,6287916e21e3e1b329a2bc52a74cd81c0e46b01785782e4a96a4f26dd3090a2bde699a3639b7ec11bbc6208f8562298d,,,0.023902717,0.000000000,0000
3,0018,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7ba439dc72e39004bd1bf29d03197a6a942bfc9972c2924d91b10bd33cf2cc6ca445611bc174e0c5a29b16a5268c4e1e,ded96efffc0f5af73d8c5fa3fe3ac2d0c0797023df738c91c70d29a56759ca01df80716e6f265c767272baed1953e3f6,0e2533a409327629c7e22f063800296ca506bbf59f33b7da4df76e8a8ad6c5d30603aac7b52543ca3cafeb6ed1bce896,b9c8a2c5033cb471c87f957090c6acb8dd807c5ed112bba4cfd703dae5a7d9f293ebce3811bb70452da66d8da6757ff4,6287916e21e3e1b329a2bc52a74cd81c0e46b01785782e4a96a4f26dd3090a2bde699a3639b7ec11bbc6208f8562298d,,,0.023895888,0.000000000,0000
4,0018,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c280fb61c6e07c09ec7705ed3abe41bd52b03cb82290cd655ee3881bc1995e1bab1c26a73a807364f893ee822c4a4fa6,a6ad4995f1e21b49fc230bb6ec859ce199aaef0439d447ca493f8113bb9b51c4ee6d02e4f2f6a656c4a18e716a718ee3,0e2533a409327629c7e22f063800296ca506bbf59f33b7da4df76e8a8ad6c5d30603aac7b52543ca3cafeb6ed1bce896,b9c8a2c5033cb471c87f957090c6acb8dd807c5ed112bba4cfd703dae5a7d9f293ebce3811bb70452da66d8da6757ff4,6287916e21e3e1b329a2bc52a74cd81c0e46b01785782e4a96a4f26dd3090a2bde699a3639b7ec11bbc6208f8562298d,,,0.023902850,0.000000000,0000
5,0018,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1a5448733ed870c43408d15abc8ec0d4735138579ae1de1cb6fb7fb0c28e0fdf40b5296b29c8c92f7666ec7f0ebcaa0b,406d67eae81bde383ed102fd6d4f4d30ad626e765836f7be7b1a4f731957a96fdc6bdef2cf6bfde2db8f806ca75aab83,0e2533a409327629c7e22f063800296ca506bbf59f33b7da4df76e8a8ad6c5d30603aac7b52543ca3cafeb6ed1bce896,b9c8a2c5033cb471c87f957090c6acb8dd807c5ed112bba4cfd703dae5a7d9f293ebce3811bb70452da66d8da6757ff4,6287916e21e3e1b329a2bc52a74cd81c0e46b01785782e4a96a4f26dd3090a2bde699a3639b7ec11bbc6208f8562298d,,,0.023895047,0.000000000,0000
6,0018,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,b5a141346c9ba137e04f10a32bcecdd7291eddb53f32682b00fbae4e1db4a6ea5c9b861eaf57b59c381c1abdde4dc43f,5807fd23b04229f47c57258ad61dd261f3356b4f13c4a74e33c49486c03d4cb694a448ec587d8efc0dc52d6511f25aca,0e2533a409327629c7e22f063800296ca506bbf59f33b7da4df76e8a8ad6c5d30603aac7b52543ca3cafeb6ed1bce896,b9c8a2c5033cb471c87f957090c6acb8dd807c5ed112bba4cfd703dae5a7d9f293ebce3811bb70452da66d8da6757ff4,6287916e21e3e1b329a2bc52a74cd81c0e46b01785782e4a96a4f26dd3090a2bde699a3639b7ec11bbc6208f8562298d,,,0.024497557,0.000000000,0000
7,0018,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f19e441d24b3dd7b142f83fa826f062936c941a90f632f1e048439650eeb9011344fbf6114b64f3b5f5293ac7f32cff4,fe32c0a54d451e873995fdc31d18f9534ae92862ab20e12fe08f62fafe6c7a10600e78ef96738163d85e6ab7c486ff48,0e2533a409327629c7e22f063800296ca506bbf59f33b7da4df76e8a8ad6c5d30603aac7b52543ca3cafeb6ed1bce896,b9c8a2c5033cb471c87f957090c6acb8dd807c5ed112bba4cfd703dae5a7d9f293ebce3811bb70452da66d8da6757ff4,6287916e21e3e1b329a2bc52a74cd81c0e46b01785782e4a96a4f26dd3090a2bde699a3639b7ec11bbc6208f8562298d,,,0.023907160,0.000000000,0000
8,0018,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,79fb723b89b7403c9b4e7af732a40fdfb6b8631f6566e569ceb6be50de2d31288cac218b057b3259a1083df05c7f9859,a9a54bb78a4e03e4c704e646e98ed7d37fb469660bd4beaba6923a5b90160bb8ced52cf5df6f3d0253c675d749639489,0e2533a409327629c7e22f063800296ca506bbf59f33b7da4df76e8a8ad6c5d30603aac7b52543ca3cafeb6ed1bce896,b9c8a2c5033cb471c87f957090c6acb8dd807c5ed112bba4cfd703dae5a7d9f293ebce3811bb70452da66d8da6757ff4,6287916e21e3e1b329a2bc52a74cd81c0e46b01785782e4a96a4f26dd3090a2bde699a3639b7ec11bbc6208f8562298d,,,0.023902107,0.000000000,0000
9,0018,0004,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2bc6bca368b1bda409d18af18341a7e4af3b23e830315003d542566039611c9f5460112fb4f9075002c3a6f3aac7cae0,31ba0aeb44397e23c60adf9408ee999171f6d98224ad8caaaffb661720eab0e9e3f7daf94d738660edc10b60f5cce1b0,0e2533a409327629c7e22f063800296ca506bbf59f33b7da4df76e8a8ad6c5d30603aac7b52543ca3cafeb6ed1bce896,b9c8a2c5033cb471c87f957090c6acb8dd807c5ed112bba4cfd703dae5a7d9f293ebce3811bb70452da66d8da6757ff4,6287916e21e3e1b329a2bc52a74cd81c0e46b01785782e4a96a4f26dd3090a2bde699a3639b7ec11bbc6208f8562298d,,,0.023890912,0.000000000,0000
